x,y,z,s,t,w
33600,5200,34000,7650,9250,34850
4536,14973,15645,31464,34845,35139
31464,14973,34845,4536,15645,35139
19760,4446,20254,28728,29070,35150
28728,4446,29070,19760,20254,35150
8448,15840,17952,30464,34336,35360
8448,14336,16640,31200,34336,35360
30464,15840,34336,8448,17952,35360
31200,14336,34336,8448,16640,35360
14784,27720,31416,16335,32175,35409
16335,27720,32175,14784,31416,35409
1785,6380,6625,34800,35380,35425
34800,6380,35380,1785,6625,35425
7803,5304,9435,34272,34680,35547
19803,12096,23205,26928,29520,35547
26928,12096,29520,19803,23205,35547
34272,5304,34680,7803,9435,35547
18200,21120,27880,22176,30624,35624
22176,21120,30624,18200,27880,35624
7560,32643,33507,12276,34875,35685
12276,32643,34875,7560,33507,35685
20424,10080,22776,27918,29682,36030
27918,10080,29682,20424,22776,36030
21175,18480,28105,22572,29172,36047
22572,18480,29172,21175,28105,36047
20280,4563,20787,29484,29835,36075
29484,4563,29835,20280,20787,36075
3444,23408,23660,27456,36080,36244
6256,7308,9620,34944,35700,36244
7956,5408,9620,34944,35360,36244
20944,9408,22960,28044,29580,36244
27456,23408,36080,3444,23660,36244
28044,9408,29580,20944,22960,36244
34944,7308,35700,6256,9620,36244
34944,5408,35360,7956,9620,36244
8712,16335,18513,31416,35409,36465
8712,14784,17160,32175,35409,36465
31416,16335,35409,8712,18513,36465
32175,14784,35409,8712,17160,36465
15232,28560,32368,16830,33150,36482
15232,7920,17168,32190,33150,36482
16830,28560,33150,15232,32368,36482
32190,7920,33150,15232,17168,36482
14586,29920,33286,14952,33448,36490
14586,6552,15990,32800,33448,36490
14952,29920,33448,14586,33286,36490
32800,6552,33448,14586,15990,36490
10948,5661,12325,34680,35139,36805
34680,5661,35139,10948,12325,36805
8109,5512,9805,35616,36040,36941
35616,5512,36040,8109,9805,36941
11760,14364,18564,31977,35055,36975
31977,14364,35055,11760,18564,36975
20800,4680,21320,30240,30600,37000
30240,4680,30600,20800,21320,37000
15288,26334,30450,21560,34034,37310
21560,26334,34034,15288,30450,37310
15680,29400,33320,17325,34125,37555
17325,29400,34125,15680,33320,37555
8976,16830,19074,32368,36482,37570
8976,15232,17680,33150,36482,37570
19584,24288,31200,20930,32062,37570
